TaskID,TaskName,Type,SubStageID,Location,StepID,Name,Description,Picture
1,苗床选择,田事管理,1,1，2，3,1,选择苗床,"优先选择：背风向阳、方便灌水、排水，地下水位不高的地方，要求土壤肥沃、透气性好，比如菜地。
不宜选择：冷浸田、胶泥田和碱性田。",6.huazhongnongshi
2,苗床培肥,肥料运筹,1,1,2,培肥苗床,床土按3份土、1份腐熟有机肥配制，对每500千克床土施磷酸二铵、硫酸钾各1.5千克。,
2,苗床培肥,肥料运筹,1,2，3,3,施有机肥,开春后亩施腐熟有机肥2000公斤。,7.huazhongnongshi
2,苗床培肥,肥料运筹,1,2，3,4,春耕晒土,春耕晒土。,8.huazhongnongshi
2,苗床培肥,肥料运筹,1,2，3,5,施化肥,播种前7~10天，亩施尿素15公斤、过磷酸钙50公斤、氯化钾20公斤或苗床专用肥40公斤。,9.huazhongnongshi
2,苗床培肥,肥料运筹,1,3,6,调酸消毒,为有效防止青、立枯病的发生，播种前应结合整地施用壮秧剂来调酸。每袋壮秧剂与10公斤细土拌匀，撒于20平方米苗床上，然后用耙子将药剂与表土充分拌匀即可。,
3,种子选择,田事管理,1,1，2，3,7,选种标准,国家审定推广的优良品种：纯度98%以上，发芽势85%以上，发芽率95%以上，含水量14%以下。,5.huazhongnongshi
4,确定用种量,田事管理,1,1,8,育秧用种量,秧本田比1:100；钵育大苗，每钵2-3粒，亩用种量1.3-1.7公斤；盘育机插，播种125克/盘，亩用种量2.7-3.3公斤。,
4,确定用种量,田事管理,1,2,9,抛秧用种量,抛秧：秧田大田比为1:40~50，亩秧田播种量120~150公斤，播55~60张秧盘，折合亩大田用种2.5~3公斤；,无
4,确定用种量,田事管理,1,2,10,机插秧用种量,机插：秧田大田比为1:80~100，亩秧田播种量250~300公斤，折每盘用干种100~120克（芽谷140~160克），折合亩大田用种量2.5~3.0公斤。,无
4,确定用种量,田事管理,1,3,11,露地旱育秧用种量,杂交晚籼旱育秧播种量每平方米45克，秧本比1:20，折合大田亩用种量1.5公斤左右；,
4,确定用种量,田事管理,1,3,12,湿润育秧用种量,湿润育秧播种量每平方米22克，秧本比1:10，折合大田亩用种量1.5公斤。,
